Column,Variable
1,Activity
2,Subject
3,subject
4,activity_num
5,tBodyAcc-mean()-X
6,tBodyAcc-mean()-Y
7,tBodyAcc-mean()-Z
8,tBodyAcc-std()-X
9,tBodyAcc-std()-Y
10,tBodyAcc-std()-Z
11,tBodyAcc-mad()-X
12,tBodyAcc-mad()-Y
13,tBodyAcc-mad()-Z
14,tBodyAcc-max()-X
15,tBodyAcc-max()-Y
16,tBodyAcc-max()-Z
17,tBodyAcc-min()-X
18,tBodyAcc-min()-Y
19,tBodyAcc-min()-Z
20,tBodyAcc-sma()
21,tBodyAcc-energy()-X
22,tBodyAcc-energy()-Y
23,tBodyAcc-energy()-Z
24,tBodyAcc-iqr()-X
25,tBodyAcc-iqr()-Y
26,tBodyAcc-iqr()-Z
27,tBodyAcc-entropy()-X
28,tBodyAcc-entropy()-Y
29,tBodyAcc-entropy()-Z
30,"tBodyAcc-arCoeff()-X,1"
31,"tBodyAcc-arCoeff()-X,2"
32,"tBodyAcc-arCoeff()-X,3"
33,"tBodyAcc-arCoeff()-X,4"
34,"tBodyAcc-arCoeff()-Y,1"
35,"tBodyAcc-arCoeff()-Y,2"
36,"tBodyAcc-arCoeff()-Y,3"
37,"tBodyAcc-arCoeff()-Y,4"
38,"tBodyAcc-arCoeff()-Z,1"
39,"tBodyAcc-arCoeff()-Z,2"
40,"tBodyAcc-arCoeff()-Z,3"
41,"tBodyAcc-arCoeff()-Z,4"
42,"tBodyAcc-correlation()-X,Y"
43,"tBodyAcc-correlation()-X,Z"
44,"tBodyAcc-correlation()-Y,Z"
45,tGravityAcc-mean()-X
46,tGravityAcc-mean()-Y
47,tGravityAcc-mean()-Z
48,tGravityAcc-std()-X
49,tGravityAcc-std()-Y
50,tGravityAcc-std()-Z
51,tGravityAcc-mad()-X
52,tGravityAcc-mad()-Y
53,tGravityAcc-mad()-Z
54,tGravityAcc-max()-X
55,tGravityAcc-max()-Y
56,tGravityAcc-max()-Z
57,tGravityAcc-min()-X
58,tGravityAcc-min()-Y
59,tGravityAcc-min()-Z
60,tGravityAcc-sma()
61,tGravityAcc-energy()-X
62,tGravityAcc-energy()-Y
63,tGravityAcc-energy()-Z
64,tGravityAcc-iqr()-X
65,tGravityAcc-iqr()-Y
66,tGravityAcc-iqr()-Z
67,tGravityAcc-entropy()-X
68,tGravityAcc-entropy()-Y
69,tGravityAcc-entropy()-Z
70,"tGravityAcc-arCoeff()-X,1"
71,"tGravityAcc-arCoeff()-X,2"
72,"tGravityAcc-arCoeff()-X,3"
73,"tGravityAcc-arCoeff()-X,4"
74,"tGravityAcc-arCoeff()-Y,1"
75,"tGravityAcc-arCoeff()-Y,2"
76,"tGravityAcc-arCoeff()-Y,3"
77,"tGravityAcc-arCoeff()-Y,4"
78,"tGravityAcc-arCoeff()-Z,1"
79,"tGravityAcc-arCoeff()-Z,2"
80,"tGravityAcc-arCoeff()-Z,3"
81,"tGravityAcc-arCoeff()-Z,4"
82,"tGravityAcc-correlation()-X,Y"
83,"tGravityAcc-correlation()-X,Z"
84,"tGravityAcc-correlation()-Y,Z"
85,tBodyAccJerk-mean()-X
86,tBodyAccJerk-mean()-Y
87,tBodyAccJerk-mean()-Z
88,tBodyAccJerk-std()-X
89,tBodyAccJerk-std()-Y
90,tBodyAccJerk-std()-Z
91,tBodyAccJerk-mad()-X
92,tBodyAccJerk-mad()-Y
93,tBodyAccJerk-mad()-Z
94,tBodyAccJerk-max()-X
95,tBodyAccJerk-max()-Y
96,tBodyAccJerk-max()-Z
97,tBodyAccJerk-min()-X
98,tBodyAccJerk-min()-Y
99,tBodyAccJerk-min()-Z
100,tBodyAccJerk-sma()
101,tBodyAccJerk-energy()-X
102,tBodyAccJerk-energy()-Y
103,tBodyAccJerk-energy()-Z
104,tBodyAccJerk-iqr()-X
105,tBodyAccJerk-iqr()-Y
106,tBodyAccJerk-iqr()-Z
107,tBodyAccJerk-entropy()-X
108,tBodyAccJerk-entropy()-Y
109,tBodyAccJerk-entropy()-Z
110,"tBodyAccJerk-arCoeff()-X,1"
111,"tBodyAccJerk-arCoeff()-X,2"
112,"tBodyAccJerk-arCoeff()-X,3"
113,"tBodyAccJerk-arCoeff()-X,4"
114,"tBodyAccJerk-arCoeff()-Y,1"
115,"tBodyAccJerk-arCoeff()-Y,2"
116,"tBodyAccJerk-arCoeff()-Y,3"
117,"tBodyAccJerk-arCoeff()-Y,4"
118,"tBodyAccJerk-arCoeff()-Z,1"
119,"tBodyAccJerk-arCoeff()-Z,2"
120,"tBodyAccJerk-arCoeff()-Z,3"
121,"tBodyAccJerk-arCoeff()-Z,4"
122,"tBodyAccJerk-correlation()-X,Y"
123,"tBodyAccJerk-correlation()-X,Z"
124,"tBodyAccJerk-correlation()-Y,Z"
125,tBodyGyro-mean()-X
126,tBodyGyro-mean()-Y
127,tBodyGyro-mean()-Z
128,tBodyGyro-std()-X
129,tBodyGyro-std()-Y
130,tBodyGyro-std()-Z
131,tBodyGyro-mad()-X
132,tBodyGyro-mad()-Y
133,tBodyGyro-mad()-Z
134,tBodyGyro-max()-X
135,tBodyGyro-max()-Y
136,tBodyGyro-max()-Z
137,tBodyGyro-min()-X
138,tBodyGyro-min()-Y
139,tBodyGyro-min()-Z
140,tBodyGyro-sma()
141,tBodyGyro-energy()-X
142,tBodyGyro-energy()-Y
143,tBodyGyro-energy()-Z
144,tBodyGyro-iqr()-X
145,tBodyGyro-iqr()-Y
146,tBodyGyro-iqr()-Z
147,tBodyGyro-entropy()-X
148,tBodyGyro-entropy()-Y
149,tBodyGyro-entropy()-Z
150,"tBodyGyro-arCoeff()-X,1"
151,"tBodyGyro-arCoeff()-X,2"
152,"tBodyGyro-arCoeff()-X,3"
153,"tBodyGyro-arCoeff()-X,4"
154,"tBodyGyro-arCoeff()-Y,1"
155,"tBodyGyro-arCoeff()-Y,2"
156,"tBodyGyro-arCoeff()-Y,3"
157,"tBodyGyro-arCoeff()-Y,4"
158,"tBodyGyro-arCoeff()-Z,1"
159,"tBodyGyro-arCoeff()-Z,2"
160,"tBodyGyro-arCoeff()-Z,3"
161,"tBodyGyro-arCoeff()-Z,4"
162,"tBodyGyro-correlation()-X,Y"
163,"tBodyGyro-correlation()-X,Z"
164,"tBodyGyro-correlation()-Y,Z"
165,tBodyGyroJerk-mean()-X
166,tBodyGyroJerk-mean()-Y
167,tBodyGyroJerk-mean()-Z
168,tBodyGyroJerk-std()-X
169,tBodyGyroJerk-std()-Y
170,tBodyGyroJerk-std()-Z
171,tBodyGyroJerk-mad()-X
172,tBodyGyroJerk-mad()-Y
173,tBodyGyroJerk-mad()-Z
174,tBodyGyroJerk-max()-X
175,tBodyGyroJerk-max()-Y
176,tBodyGyroJerk-max()-Z
177,tBodyGyroJerk-min()-X
178,tBodyGyroJerk-min()-Y
179,tBodyGyroJerk-min()-Z
180,tBodyGyroJerk-sma()
181,tBodyGyroJerk-energy()-X
182,tBodyGyroJerk-energy()-Y
183,tBodyGyroJerk-energy()-Z
184,tBodyGyroJerk-iqr()-X
185,tBodyGyroJerk-iqr()-Y
186,tBodyGyroJerk-iqr()-Z
187,tBodyGyroJerk-entropy()-X
188,tBodyGyroJerk-entropy()-Y
189,tBodyGyroJerk-entropy()-Z
190,"tBodyGyroJerk-arCoeff()-X,1"
191,"tBodyGyroJerk-arCoeff()-X,2"
192,"tBodyGyroJerk-arCoeff()-X,3"
193,"tBodyGyroJerk-arCoeff()-X,4"
194,"tBodyGyroJerk-arCoeff()-Y,1"
195,"tBodyGyroJerk-arCoeff()-Y,2"
196,"tBodyGyroJerk-arCoeff()-Y,3"
197,"tBodyGyroJerk-arCoeff()-Y,4"
